"id";"qid";"lang";"source";"Remarks";"Dclt"
1503;119;"Swift";"class MyCalendarTwo {
 
    init() {
        
    }
    
    func book(_ start: Int, _ end: Int) -> Bool {
        
    }
}
 
/**
 * Your MyCalendarTwo object will be instantiated 
and called as such:
 * let obj = MyCalendarTwo()
 * let ret_1: Bool = obj.book(start, end)
 */";"";"2020-03-25 15:17:59"
1504;119;"Ruby";"class MyCalendarTwo
    def initialize()
 
    end
 
 
=begin
    :type start: Integer
    :type end: Integer
    :rtype: Boolean
=end
    def book(start, end)
 
    end
 
 
end
 
# Your MyCalendarTwo object will be instantiated 
and called as such:
# obj = MyCalendarTwo.new()
# param_1 = obj.book(start, end)";"";"2020-03-25 15:17:59"
1505;119;"Python";"class MyCalendarTwo(object):
 
    def __init__(self):
        
 
    def book(self, start, end):
        """"""
        :type start: int
        :type end: int
        :rtype: bool
        """"""
        
 
 
# Your MyCalendarTwo object will be instantiated 
and called as such:
# obj = MyCalendarTwo()
# param_1 = obj.book(start,end)";"";"2020-03-25 15:17:59"
1506;120;"C#";"public class Solution {
    public int DeleteAndEarn(int[] nums) {
 
    }
}";"";"2020-03-25 15:17:59"
1507;120;"Java";"class Solution {
    public int deleteAndEarn(int[] nums) {
 
    }
}";"";"2020-03-25 15:17:59"
1508;120;"C";"int deleteAndEarn(int* nums, int numsSize){
 
}";"";"2020-03-25 15:17:59"
1509;120;"Rust";"impl Solution {
    pub fn delete_and_earn(nums: Vec<i32>) -> i32 {
        
    }
}";"";"2020-03-25 15:17:59"
1510;120;"Scala";"object Solution {
    def deleteAndEarn(nums: Array[Int]): Int = {
 
    }
}";"";"2020-03-25 15:17:59"
1511;120;"Go";"func deleteAndEarn(nums []int) int {
 
}";"";"2020-03-25 15:17:59"
1512;120;"Kotlin";"class Solution {
    fun deleteAndEarn(nums: IntArray): Int {
 
    }
}";"";"2020-03-25 15:17:59"
1513;120;"JavaScript";"/**
 * @param {number[]} nums
 * @return {number}
 */
var deleteAndEarn = function(nums) {
 
};";"";"2020-03-25 15:17:59"
1514;120;"Python3";"class Solution:
    def deleteAndEarn(self, nums: List[int]) -> int:";"";"2020-03-25 15:17:59"
1515;120;"PHP";"class Solution {
 
    /**
     * @param Integer[] $nums
     * @return Integer
     */
    function deleteAndEarn($nums) {
        
    }
}";"";"2020-03-25 15:17:59"
1516;120;"Swift";"class Solution {
    func deleteAndEarn(_ nums: [Int]) -> Int {
        
    }
}";"";"2020-03-25 15:17:59"
1517;120;"Ruby";"# @param {Integer[]} nums
# @return {Integer}
def delete_and_earn(nums)
 
end";"";"2020-03-25 15:17:59"
1518;120;"Python";"class Solution(object):
    def deleteAndEarn(self, nums):
        """"""
        :type nums: List[int]
        :rtype: int
        """"""";"";"2020-03-25 15:17:59"
1519;121;"C#";"public class Solution {
    public void ReverseString(char[] s) {
 
    }
}";"";"2020-03-25 15:17:59"
1520;121;"Java";"class Solution {
    public void reverseString(char[] s) {
 
    }
}";"";"2020-03-25 15:17:59"
1521;121;"C";"void reverseString(char* s, int sSize){
 
}";"";"2020-03-25 15:17:59"
1522;121;"Rust";"impl Solution {
    pub fn reverse_string(s: &mut Vec<char>) {
 
    }
}";"";"2020-03-25 15:17:59"
1523;121;"Scala";"object Solution {
    def reverseString(s: Array[Char]): Unit = {
 
    }
}";"";"2020-03-25 15:17:59"
1524;121;"Go";"func reverseString(s []byte)  {
 
}";"";"2020-03-25 15:17:59"
1525;121;"Kotlin";"class Solution {
    fun reverseString(s: CharArray): Unit {
 
    }
}";"";"2020-03-25 15:17:59"
1526;121;"Python3";"class Solution:
    def reverseString(self, s: List[str]) -> None:
        """"""
        Do not return anything, modify s in-place 
instead.
        """"""";"";"2020-03-25 15:17:59"
1527;121;"JavaScript";"/**
 * @param {character[]} s
 * @return {void} Do not return anything, modify s 
in-place instead.
 */
var reverseString = function(s) {
 
};";"";"2020-03-25 15:17:59"
1528;121;"PHP";"class Solution {
 
    /**
     * @param String[] $s
     * @return NULL
     */
    function reverseString(&$s) {
 
    }
}";"";"2020-03-25 15:17:59"
1529;121;"Swift";"class Solution {
    func reverseString(_ s: inout [Character]) {
 
    }
}";"";"2020-03-25 15:17:59"
1530;121;"Ruby";"# @param {Character[]} s
# @return {Void} Do not return anything, modify s 
in-place instead.
def reverse_string(s)
 
end";"";"2020-03-25 15:17:59"
1531;121;"Python";"class Solution(object):
    def reverseString(self, s):
        """"""
        :type s: List[str]
        :rtype: None Do not return anything, modify 
s in-place instead.
        """"""";"";"2020-03-25 15:17:59"
1532;122;"C#";"public class Solution {
    public string ConvertToTitle(int n) {
 
    }
}";"";"2020-03-25 15:17:59"
1533;122;"Java";"class Solution {
    public String convertToTitle(int n) {
 
    }
}";"";"2020-03-25 15:17:59"
1534;122;"C";"char * convertToTitle(int n){
 
}";"";"2020-03-25 15:17:59"
1535;122;"Rust";"impl Solution {
    pub fn convert_to_title(n: i32) -> String {
 
    }
}";"";"2020-03-25 15:17:59"
1536;122;"Scala";"object Solution {
    def convertToTitle(n: Int): String = {
 
    }
}";"";"2020-03-25 15:17:59"
1537;122;"Go";"func convertToTitle(n int) string {
 
}";"";"2020-03-25 15:17:59"
1538;122;"Kotlin";"class Solution {
    fun convertToTitle(n: Int): String {
 
    }
}";"";"2020-03-25 15:17:59"
1539;122;"Python3";"class Solution:
    def convertToTitle(self, n: int) -> str:";"";"2020-03-25 15:17:59"
1540;122;"JavaScript";"/**
 * @param {number} n
 * @return {string}
 */
var convertToTitle = function(n) {
 
};";"";"2020-03-25 15:17:59"
1541;122;"PHP";"class Solution {
 
    /**
     * @param Integer $n
     * @return String
     */
    function convertToTitle($n) {
 
    }
}";"";"2020-03-25 15:17:59"
1542;122;"Swift";"class Solution {
    func convertToTitle(_ n: Int) -> String {
 
    }
}";"";"2020-03-25 15:17:59"
1543;122;"Ruby";"# @param {Integer} n";"";"2020-03-25 15:17:59"
1544;122;"Python";"class Solution(object):
    def convertToTitle(self, n):
        """"""
        :type n: int
        :rtype: str
        """"""";"";"2020-03-25 15:17:59"
1545;123;"C#";"public class Solution {
    public int NumTimesAllBlue(int[] light) {
 
    }
}";"";"2020-03-25 15:17:59"
1546;123;"Java";"class Solution {
    public int numTimesAllBlue(int[] light) {
 
    }
}";"";"2020-03-25 15:17:59"
1547;123;"Rust";"impl Solution {
    pub fn num_times_all_blue(light: Vec<i32>) -> 
i32 {
 
    }
}";"";"2020-03-25 15:17:59"
1548;123;"C";"int numTimesAllBlue(int* light, int lightSize){
 
}";"";"2020-03-25 15:17:59"
1549;123;"Scala";"object Solution {
    def numTimesAllBlue(light: Array[Int]): Int = {
 
    }
}";"";"2020-03-25 15:17:59"
1550;123;"Go";"func numTimesAllBlue(light []int) int {
 
}";"";"2020-03-25 15:17:59"
1551;123;"Kotlin";"class Solution {
    fun numTimesAllBlue(light: IntArray): Int {
 
    }
}";"";"2020-03-25 15:17:59"
1552;123;"Python3";"class Solution:
    def numTimesAllBlue(self, light: List[int]) -> 
int:";"";"2020-03-25 15:17:59"
1553;123;"JavaScript";"/**
 * @param {number[]} light
 * @return {number}
 */
var numTimesAllBlue = function(light) {
 
};";"";"2020-03-25 15:17:59"
1554;123;"PHP";"class Solution {";"";"2020-03-25 15:17:59"
1555;123;"Swift";"class Solution {
    func numTimesAllBlue(_ light: [Int]) -> Int {
        
    }
}";"";"2020-03-25 15:17:59"
1556;123;"Ruby";"# @param {Integer[]} light
# @return {Integer}
def num_times_all_blue(light)
 
end";"";"2020-03-25 15:17:59"
1557;123;"Python";"class Solution(object):
    def numTimesAllBlue(self, light):
        """"""
        :type light: List[int]
        :rtype: int
        """"""";"";"2020-03-25 15:17:59"
1558;124;"C#";"/**
 * Definition for singly-linked list.
 * public class ListNode {
 *     public int val;
 *     public ListNode next;
 *     public ListNode(int x) { val = x; }
 * }
 */
public class Solution {
    public ListNode MiddleNode(ListNode head) {
 
    }
}";"";"2020-03-25 15:17:59"
1559;124;"Java";"/**
 * Definition for singly-linked list.
 * public class ListNode {
 *     int val;
 *     ListNode next;
 *     ListNode(int x) { val = x; }
 * }
 */
class Solution {
    public ListNode middleNode(ListNode head) {
 
    }
}";"";"2020-03-25 15:17:59"
1560;124;"Rust";"// Definition for singly-linked list.
// #[derive(PartialEq, Eq, Clone, Debug)]
// pub struct ListNode {
//   pub val: i32,
//   pub next: Option<Box<ListNode>>
// }
// 
// impl ListNode {
//   #[inline]
//   fn new(val: i32) -> Self {
//     ListNode {
//       next: None,
//       val
//     }
//   }
// }
impl Solution {
    pub fn middle_node(head: Option<Box<ListNode>>) 
-> Option<Box<ListNode>> {
        
    }
}";"";"2020-03-25 15:17:59"
1561;124;"C";"/**
 * Definition for singly-linked list.
 * struct ListNode {
 *     int val;
 *     struct ListNode *next;
 * };
 */
 
 
struct ListNode* middleNode(struct ListNode* head){
 
}";"";"2020-03-25 15:17:59"
1562;124;"Scala";"/**
 * Definition for singly-linked list.
 * class ListNode(var _x: Int = 0) {
 *   var next: ListNode = null
 *   var x: Int = _x
 * }
 */
object Solution {
    def middleNode(head: ListNode): ListNode = {
 
    }
}";"";"2020-03-25 15:17:59"
1563;124;"Go";"/**
 * Definition for singly-linked list.
 * type ListNode struct {
 *     Val int
 *     Next *ListNode
 * }
 */
func middleNode(head *ListNode) *ListNode {
 
}";"";"2020-03-25 15:17:59"
1564;124;"Kotlin";"/**
 * Example:
 * var li = ListNode(5)
 * var v = li.`val`
 * Definition for singly-linked list.
 * class ListNode(var `val`: Int) {
 *     var next: ListNode? = null
 * }
 */
class Solution {
    fun middleNode(head: ListNode?): ListNode? {
 
    }
}";"";"2020-03-25 15:17:59"
1565;124;"Python3";"# Definition for singly-linked list.
# class ListNode:
#     def __init__(self, x):
#         self.val = x
#         self.next = None
 
class Solution:
    def middleNode(self, head: ListNode) -> 
ListNode:";"";"2020-03-25 15:17:59"
1566;124;"JavaScript";"/**
 * Definition for singly-linked list.
 * function ListNode(val) {
 *     this.val = val;
 *     this.next = null;
 * }
 */
/**
 * @param {ListNode} head
 * @return {ListNode}
 */
var middleNode = function(head) {
 
};";"";"2020-03-25 15:17:59"
1567;124;"PHP";"/**";"";"2020-03-25 15:17:59"
1568;124;"Swift";"/**
 * Definition for singly-linked list.
 * public class ListNode {
 *     public var val: Int
 *     public var next: ListNode?
 *     public init(_ val: Int) {
 *         self.val = val
 *         self.next = nil
 *     }
 * }
 */
class Solution {
    func middleNode(_ head: ListNode?) -> ListNode? 
{
        
    }
}";"";"2020-03-25 15:17:59"
1569;124;"Ruby";"# Definition for singly-linked list.
# class ListNode
#     attr_accessor :val, :next
#     def initialize(val)
#         @val = val
#         @next = nil
#     end
# end
 
# @param {ListNode} head
# @return {ListNode}
def middle_node(head)
 
end";"";"2020-03-25 15:17:59"
1570;124;"Python";"# Definition for singly-linked list.
# class ListNode(object):
#     def __init__(self, x):
#         self.val = x
#         self.next = None
 
class Solution(object):
    def middleNode(self, head):
        """"""
        :type head: ListNode
        :rtype: ListNode
        """"""";"";"2020-03-25 15:17:59"
1571;125;"C#";"public class Solution {
    public string NumberToWords(int num) {
 
    }
}";"";"2020-03-25 15:18:00"
1572;125;"Java";"class Solution {
    public String numberToWords(int num) {
 
    }
}";"";"2020-03-25 15:18:00"
1573;125;"Rust";"impl Solution {
    pub fn number_to_words(num: i32) -> String {
 
    }
}";"";"2020-03-25 15:18:00"
1574;125;"C";"char* numberToWords(int num){
 
}";"";"2020-03-25 15:18:00"
1575;125;"Scala";"object Solution {
    def numberToWords(num: Int): String = {
 
    }
}";"";"2020-03-25 15:18:00"
1576;125;"Go";"func numberToWords(num int) string {
 
}";"";"2020-03-25 15:18:00"
1577;125;"Kotlin";"class Solution {
    fun numberToWords(num: Int): String {
 
    }
}";"";"2020-03-25 15:18:00"
1578;125;"Python3";"class Solution:
    def numberToWords(self, num: int) -> str:";"";"2020-03-25 15:18:00"
1579;125;"JavaScript";"/**
 * @param {number} num
 * @return {string}
 */
var numberToWords = function(num) {
 
};";"";"2020-03-25 15:18:00"
1580;125;"PHP";"class Solution {";"";"2020-03-25 15:18:00"
1581;125;"Swift";"class Solution {
    func numberToWords(_ num: Int) -> String {
 
    }
}";"";"2020-03-25 15:18:00"
1582;125;"Ruby";"# @param {Integer} num
# @return {String}
def number_to_words(num)
 
end";"";"2020-03-25 15:18:00"
1583;125;"Python";"class Solution(object):
    def numberToWords(self, num):
        """"""
        :type num: int
        :rtype: str
        """"""";"";"2020-03-25 15:18:00"
1584;126;"C#";"/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int x) { val = x; }
 * }
 */
public class Solution {
    public string SmallestFromLeaf(TreeNode root) {
 
    }
}";"";"2020-03-25 15:18:00"
1585;126;"Java";"/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     int val;
 *     TreeNode left;
 *     TreeNode right;
 *     TreeNode(int x) { val = x; }
 * }
 */
class Solution {
    public String smallestFromLeaf(TreeNode root) {
 
    }
}";"";"2020-03-25 15:18:00"
1586;126;"C";"/**
 * Definition for a binary tree node.
 * struct TreeNode {
 *     int val;
 *     struct TreeNode *left;
 *     struct TreeNode *right;
 * };
 */
 
 
char * smallestFromLeaf(struct TreeNode* root){
 
}";"";"2020-03-25 15:18:00"
1587;126;"Rust";"// Definition for a binary tree node.
// #[derive(Debug, PartialEq, Eq)]
// pub struct TreeNode {
//   pub val: i32,
//   pub left: Option<Rc<RefCell<TreeNode>>>,
//   pub right: Option<Rc<RefCell<TreeNode>>>,
// }
// 
// impl TreeNode {
//   #[inline]
//   pub fn new(val: i32) -> Self {
//     TreeNode {
//       val,
//       left: None,
//       right: None
//     }
//   }
// }
use std::rc::Rc;
use std::cell::RefCell;
impl Solution {
    pub fn smallest_from_leaf(root: 
Option<Rc<RefCell<TreeNode>>>) -> String {
        
    }
}";"";"2020-03-25 15:18:00"
1588;126;"Scala";"/**
 * Definition for a binary tree node.
 * class TreeNode(var _value: Int) {
 *   var value: Int = _value
 *   var left: TreeNode = null
 *   var right: TreeNode = null
 * }
 */
object Solution {
    def smallestFromLeaf(root: TreeNode): String = {
 
    }
}";"";"2020-03-25 15:18:00"
1589;126;"Go";"/**
 * Definition for a binary tree node.
 * type TreeNode struct {
 *     Val int
 *     Left *TreeNode
 *     Right *TreeNode
 * }
 */
func smallestFromLeaf(root *TreeNode) string {
 
}";"";"2020-03-25 15:18:00"
1590;126;"Kotlin";"/**
 * Example:
 * var ti = TreeNode(5)
 * var v = ti.`val`
 * Definition for a binary tree node.
 * class TreeNode(var `val`: Int) {
 *     var left: TreeNode? = null
 *     var right: TreeNode? = null
 * }
 */
class Solution {
    fun smallestFromLeaf(root: TreeNode?): String {
 
    }
}";"";"2020-03-25 15:18:00"
1591;126;"Python3";"# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, x):
#         self.val = x
#         self.left = None
#         self.right = None
 
class Solution:
    def smallestFromLeaf(self, root: TreeNode) -> 
str:";"";"2020-03-25 15:18:00"
1592;126;"JavaScript";"/**
 * Definition for a binary tree node.
 * function TreeNode(val) {
 *     this.val = val;
 *     this.left = this.right = null;
 * }
 */
/**
 * @param {TreeNode} root
 * @return {string}
 */
var smallestFromLeaf = function(root) {
 
};";"";"2020-03-25 15:18:00"
1593;126;"PHP";"/**
 * Definition for a binary tree node.
 * class TreeNode {
 *     public $val = null;
 *     public $left = null;
 *     public $right = null;
 *     function __construct($value) { $this->val = 
$value; }
 * }
 */
class Solution {
 
    /**
     * @param TreeNode $root
     * @return String
     */
    function smallestFromLeaf($root) {
        
    }
}";"";"2020-03-25 15:18:00"
1594;126;"Swift";"/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public var val: Int
 *     public var left: TreeNode?
 *     public var right: TreeNode?
 *     public init(_ val: Int) {
 *         self.val = val
 *         self.left = nil
 *         self.right = nil
 *     }
 * }
 */
class Solution {
    func smallestFromLeaf(_ root: TreeNode?) -> 
String {
        
    }
}";"";"2020-03-25 15:18:00"
1595;126;"Ruby";"# Definition for a binary tree node.";"";"2020-03-25 15:18:00"
1596;126;"Python";"# Definition for a binary tree node.
# class TreeNode(object):
#     def __init__(self, x):
#         self.val = x
#         self.left = None
#         self.right = None
 
class Solution(object):
    def smallestFromLeaf(self, root):
        """"""
        :type root: TreeNode
        :rtype: str
        """"""";"";"2020-03-25 15:18:00"
1597;127;"C#";"public class Solution {
    public int FindRotateSteps(string ring, string 
key) {
 
    }
}";"";"2020-03-25 15:18:00"
1598;127;"Java";"class Solution {
    public int findRotateSteps(String ring, String 
key) {
 
    }
}";"";"2020-03-25 15:18:00"
1599;127;"C";"int findRotateSteps(char * ring, char * key){
 
}";"";"2020-03-25 15:18:00"
1600;127;"Rust";"impl Solution {
    pub fn find_rotate_steps(ring: String, key: 
String) -> i32 {
        
    }
}";"";"2020-03-25 15:18:00"
1601;127;"Scala";"object Solution {
    def findRotateSteps(ring: String, key: String): 
Int = {
 
    }
}";"";"2020-03-25 15:18:00"
1602;127;"Go";"func findRotateSteps(ring string, key string) int {
 
}";"";"2020-03-25 15:18:00"
1603;127;"Kotlin";"class Solution {
    fun findRotateSteps(ring: String, key: String): 
Int {
 
    }
}";"";"2020-03-25 15:18:00"
1604;127;"Python3";"class Solution:
    def findRotateSteps(self, ring: str, key: str) 
-> int:";"";"2020-03-25 15:18:00"
1605;127;"JavaScript";"/**
 * @param {string} ring
 * @param {string} key
 * @return {number}
 */
var findRotateSteps = function(ring, key) {
 
};";"";"2020-03-25 15:18:00"
1606;127;"PHP";"class Solution {
 
    /**
     * @param String $ring
     * @param String $key
     * @return Integer
     */
    function findRotateSteps($ring, $key) {
        
    }
}";"";"2020-03-25 15:18:00"
1607;127;"Swift";"class Solution {
    func findRotateSteps(_ ring: String, _ key: 
String) -> Int {
        
    }
}";"";"2020-03-25 15:18:00"
1608;127;"Ruby";"# @param {String} ring";"";"2020-03-25 15:18:00"
1609;127;"Python";"class Solution(object):
    def findRotateSteps(self, ring, key):
        """"""
        :type ring: str
        :type key: str
        :rtype: int
        """"""";"";"2020-03-25 15:18:00"
1610;128;"C#";"public class Solution {
    public bool XorGame(int[] nums) {
 
    }
}";"";"2020-03-25 15:18:00"
1611;128;"Java";"class Solution {
    public boolean xorGame(int[] nums) {
 
    }
}";"";"2020-03-25 15:18:00"
1612;128;"C";"bool xorGame(int* nums, int numsSize){
 
}";"";"2020-03-25 15:18:00"
1613;128;"Python3";"class Solution:
    def xorGame(self, nums: List[int]) -> bool:";"";"2020-03-25 15:18:00"
1614;128;"JavaScript";"/**
 * @param {number[]} nums
 * @return {boolean}
 */
var xorGame = function(nums) {
 
};";"";"2020-03-25 15:18:00"
1615;128;"Ruby";"# @param {Integer[]} nums
# @return {Boolean}
def xor_game(nums)
 
end";"";"2020-03-25 15:18:00"
1616;128;"Python";"class Solution(object):
    def xorGame(self, nums):
        """"""
        :type nums: List[int]
        :rtype: bool
        """"""";"";"2020-03-25 15:18:00"
1617;129;"C#";"public class Solution {
    public int LargestPerimeter(int[] A) {
 
    }
}";"";"2020-03-25 15:18:00"
1618;129;"Java";"class Solution {
    public int largestPerimeter(int[] A) {
 
    }
}";"";"2020-03-25 15:18:00"
1619;129;"C";"int largestPerimeter(int* A, int ASize){
 
}";"";"2020-03-25 15:18:00"
1620;129;"Rust";"impl Solution {
    pub fn largest_perimeter(a: Vec<i32>) -> i32 {
        
    }
}";"";"2020-03-25 15:18:00"
1621;129;"Scala";"object Solution {
    def largestPerimeter(A: Array[Int]): Int = {
 
    }
}";"";"2020-03-25 15:18:00"
1622;129;"Go";"func largestPerimeter(A []int) int {
 
}";"";"2020-03-25 15:18:00"
1623;129;"Kotlin";"class Solution {
    fun largestPerimeter(A: IntArray): Int {
 
    }
}";"";"2020-03-25 15:18:00"
1624;129;"Python3";"class Solution:
    def largestPerimeter(self, A: List[int]) -> int:";"";"2020-03-25 15:18:00"
1625;129;"JavaScript";"/**
 * @param {number[]} A
 * @return {number}
 */
var largestPerimeter = function(A) {
 
};";"";"2020-03-25 15:18:00"
1626;129;"PHP";"class Solution {
 
    /**
     * @param Integer[] $A
     * @return Integer
     */
    function largestPerimeter($A) {
        
    }
}";"";"2020-03-25 15:18:00"
1627;129;"Swift";"class Solution {
    func largestPerimeter(_ A: [Int]) -> Int {
        
    }
}";"";"2020-03-25 15:18:00"
1628;129;"Ruby";"";"";"2020-03-25 15:18:00"
1629;129;"Python";"class Solution(object):
    def largestPerimeter(self, A):
        """"""
        :type A: List[int]
        :rtype: int
        """"""";"";"2020-03-25 15:18:00"
1630;130;"C#";"public class Solution {
    public int FindNthDigit(int n) {
 
    }
}";"";"2020-03-25 15:18:00"
1631;130;"Java";"class Solution {
    public int findNthDigit(int n) {
 
    }
}";"";"2020-03-25 15:18:00"
1632;130;"C";"int findNthDigit(int n){
 
}";"";"2020-03-25 15:18:00"
1633;130;"Rust";"impl Solution {
    pub fn find_nth_digit(n: i32) -> i32 {
 
    }
}";"";"2020-03-25 15:18:00"
1634;130;"Scala";"object Solution {
    def findNthDigit(n: Int): Int = {
 
    }
}";"";"2020-03-25 15:18:00"
1635;130;"Go";"func findNthDigit(n int) int {
 
}";"";"2020-03-25 15:18:00"
1636;130;"Kotlin";"class Solution {
    fun findNthDigit(n: Int): Int {
 
    }
}";"";"2020-03-25 15:18:00"
1637;130;"Python3";"class Solution:
    def findNthDigit(self, n: int) -> int:";"";"2020-03-25 15:18:00"
1638;130;"JavaScript";"/**
 * @param {number} n
 * @return {number}
 */
var findNthDigit = function(n) {
 
};";"";"2020-03-25 15:18:00"
1639;130;"PHP";"class Solution {
 
    /**
     * @param Integer $n
     * @return Integer
     */
    function findNthDigit($n) {
 
    }
}";"";"2020-03-25 15:18:00"
1640;130;"Swift";"class Solution {
    func findNthDigit(_ n: Int) -> Int {
 
    }
}";"";"2020-03-25 15:18:00"
1641;130;"Ruby";"# @param {Integer} n
# @return {Integer}
def find_nth_digit(n)
 
end";"";"2020-03-25 15:18:00"
1642;130;"Python";"class Solution(object):
    def findNthDigit(self, n):
        """"""
        :type n: int
        :rtype: int
        """"""";"";"2020-03-25 15:18:00"
1643;131;"C#";"public class Solution {
    public string OptimalDivision(int[] nums) {
 
    }
}";"";"2020-03-25 15:18:00"
1644;131;"Java";"class Solution {
    public String optimalDivision(int[] nums) {
 
    }
}";"";"2020-03-25 15:18:00"
1645;131;"Rust";"impl Solution {
    pub fn optimal_division(nums: Vec<i32>) -> 
String {
        
    }
}";"";"2020-03-25 15:18:00"
1646;131;"C";"char * optimalDivision(int* nums, int numsSize){
 
}";"";"2020-03-25 15:18:00"
1647;131;"Scala";"object Solution {
    def optimalDivision(nums: Array[Int]): String = 
{
 
    }
}";"";"2020-03-25 15:18:00"
1648;131;"Go";"func optimalDivision(nums []int) string {
 
}";"";"2020-03-25 15:18:00"
1649;131;"Kotlin";"class Solution {
    fun optimalDivision(nums: IntArray): String {
 
    }
}";"";"2020-03-25 15:18:00"
1650;131;"Python3";"class Solution:
    def optimalDivision(self, nums: List[int]) -> 
str:";"";"2020-03-25 15:18:00"
1651;131;"JavaScript";"/**
 * @param {number[]} nums
 * @return {string}
 */
var optimalDivision = function(nums) {
 
};";"";"2020-03-25 15:18:00"
1652;131;"PHP";"class Solution {
 
    /**
     * @param Integer[] $nums
     * @return String
     */
    function optimalDivision($nums) {
        
    }
}";"";"2020-03-25 15:18:00"
1653;131;"Swift";"class Solution {
    func optimalDivision(_ nums: [Int]) -> String {
        
    }
}";"";"2020-03-25 15:18:00"
1654;131;"Ruby";"# @param {Integer[]} nums
# @return {String}
def optimal_division(nums)
 
end";"";"2020-03-25 15:18:00"
1655;131;"Python";"class Solution(object):
    def optimalDivision(self, nums):
        """"""
        :type nums: List[int]
        :rtype: str
        """"""";"";"2020-03-25 15:18:00"
1656;132;"C#";"public class Solution {
    public int RemovePalindromeSub(string s) {
        
    }
}";"";"2020-03-25 15:18:00"
1657;132;"Java";"class Solution {
    public int removePalindromeSub(String s) {
 
    }
}";"";"2020-03-25 15:18:00"
1658;132;"C";"int removePalindromeSub(char * s){
 
}";"";"2020-03-25 15:18:00"
1659;132;"Rust";"impl Solution {
    pub fn remove_palindrome_sub(s: String) -> i32 {
 
    }
}";"";"2020-03-25 15:18:00"
1660;132;"Scala";"object Solution {
    def removePalindromeSub(s: String): Int = {
 
    }
}";"";"2020-03-25 15:18:00"
1661;132;"Go";"func removePalindromeSub(s string) int {
 
}";"";"2020-03-25 15:18:00"
1662;132;"Kotlin";"class Solution {
    fun removePalindromeSub(s: String): Int {
 
    }
}";"";"2020-03-25 15:18:00"
1663;132;"Python3";"class Solution:
    def removePalindromeSub(self, s: str) -> int:";"";"2020-03-25 15:18:00"
1664;132;"JavaScript";"/**
 * @param {string} s
 * @return {number}
 */
var removePalindromeSub = function(s) {
    
};";"";"2020-03-25 15:18:00"
1665;132;"PHP";"class Solution {
 
    /**
     * @param String $s
     * @return Integer
     */
    function removePalindromeSub($s) {
 
    }
}";"";"2020-03-25 15:18:00"
1666;132;"Swift";"class Solution {
    func removePalindromeSub(_ s: String) -> Int {
 
    }
}";"";"2020-03-25 15:18:00"
1667;132;"Ruby";"# @param {String} s
# @return {Integer}
def remove_palindrome_sub(s)
    
end";"";"2020-03-25 15:18:00"
1668;132;"Python";"class Solution(object):
    def removePalindromeSub(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""";"";"2020-03-25 15:18:00"
1669;133;"C#";"public class Solution {
    public IList<IList<int>> Permute(int[] nums) {
 
    }
}";"";"2020-03-25 15:18:00"
1670;133;"Java";"class Solution {
    public List<List<Integer>> permute(int[] nums) {
 
    }
}";"";"2020-03-25 15:18:00"
1671;133;"C";"/**
 * Return an array of arrays of size *returnSize.
 * The sizes of the arrays are returned as 
*returnColumnSizes array.
 * Note: Both returned array and *columnSizes array 
must be malloced, assume caller calls free().
 */
int** permute(int* nums, int numsSize, int* 
returnSize, int** returnColumnSizes){
 
}";"";"2020-03-25 15:18:00"
1672;133;"Rust";"impl Solution {
    pub fn permute(nums: Vec<i32>) -> Vec<Vec<i32>> 
{
        
    }
}";"";"2020-03-25 15:18:00"
1673;133;"Scala";"object Solution {
    def permute(nums: Array[Int]): List[List[Int]] 
= {
 
    }
}";"";"2020-03-25 15:18:00"
1674;133;"Go";"func permute(nums []int) [][]int {
 
}";"";"2020-03-25 15:18:00"
1675;133;"Kotlin";"class Solution {
    fun permute(nums: IntArray): List<List<Int>> {
 
    }
}";"";"2020-03-25 15:18:00"
1676;133;"Python3";"class Solution:
    def permute(self, nums: List[int]) -> List[List
[int]]:";"";"2020-03-25 15:18:00"
1677;133;"JavaScript";"/**
 * @param {number[]} nums
 * @return {number[][]}
 */
var permute = function(nums) {
 
};";"";"2020-03-25 15:18:00"
1678;133;"PHP";"class Solution {
 
    /**
     * @param Integer[] $nums
     * @return Integer[][]
     */
    function permute($nums) {
        
    }
}";"";"2020-03-25 15:18:00"
1679;133;"Swift";"class Solution {
    func permute(_ nums: [Int]) -> [[Int]] {
        
    }
}";"";"2020-03-25 15:18:00"
1680;133;"Ruby";"# @param {Integer[]} nums";"";"2020-03-25 15:18:00"
1681;133;"Python";"class Solution(object):
    def permute(self, nums):
        """"""
        :type nums: List[int]
        :rtype: List[List[int]]
        """"""";"";"2020-03-25 15:18:00"
1682;134;"C#";"public class Solution {
    public double[] TwoSum(int n) {
 
    }
}";"";"2020-03-25 15:18:00"
1683;134;"Java";"class Solution {
    public double[] twoSum(int n) {
 
    }
}";"";"2020-03-25 15:18:00"
1684;134;"Rust";"impl Solution {
    pub fn two_sum(n: i32) -> Vec<f64> {
 
    }
}";"";"2020-03-25 15:18:00"
